S/N,Joined Proctor on,Bootcamp,Score,% Score,% Completed,M1-S1 Correct,M1-S1 Wrong,M1-S1 Tries,M1-S2 Tries,M2-S1 Correct,M2-S1 Wrong,M2-S1 Tries,M2-S2 Tries,M3-S1 Correct,M3-S1 Wrong,M3-S1 Tries,M3-S2 Tries,M4-S1 Correct,M4-S1 Wrong,M4-S1 Tries,M4-S2 Tries,M5-S1 Correct,M5-S1 Wrong,M5-S1 Tries,M5-S2 Tries,M6-S1 Correct,M6-S1 Wrong,M6-S1 Tries,M6-S2 Tries,M7-S1 Correct,M7-S1 Wrong,M7-S1 Tries,M7-S2 Tries,M8-S1 Correct,M8-S1 Wrong,M8-S1 Tries,M8-S2 Tries,M9-S1 Correct,M9-S1 Wrong,M9-S1 Tries,M9-S2 Tries,M10-S1 Correct,M10-S1 Wrong,M10-S1 Tries,M10-S2 Tries
3,2015-12-29,FALSE,113,56.50%,100,1,5,5,0,3,7,7,0,0,6,6,1,6,10,10,1,1,3,3,1,1,3,0,1,2,4,4,0,6,4,4,0,9,10,10,0,13,30,30,1
2214,2015-12-29,FALSE,177,88.50%,100,5,1,1,0,7,3,3,0,0,1,1,1,12,4,4,1,4,0,0,1,4,0,0,1,5,1,1,0,6,4,4,0,17,2,2,0,41,2,2,1
2217,2015-12-29,FALSE,180,90.00%,100,6,0,0,0,7,3,3,0,0,0,0,1,12,4,4,1,4,0,0,1,4,0,0,1,5,1,1,0,6,4,4,0,17,2,2,0,42,1,1,1
2277,2015-12-29,FALSE,162,81.00%,100,4,2,2,0,5,5,5,0,0,3,3,1,8,8,8,1,3,1,1,1,4,0,0,1,1,5,5,0,7,3,3,0,16,3,3,0,40,3,3,1
2304,2015-12-29,FALSE,183,91.50%,100,6,0,0,0,9,1,1,0,0,0,0,1,15,1,1,1,4,0,0,1,4,0,0,1,3,3,3,0,7,3,3,0,18,1,1,0,40,3,3,1
2306,2015-12-29,FALSE,185,92.50%,100,4,2,2,0,9,1,1,0,0,1,1,1,15,1,1,1,4,0,0,1,3,1,0,1,6,0,0,0,9,1,1,0,18,1,1,0,41,2,2,1
2316,2015-12-29,TRUE,183,91.50%,100,5,1,1,0,8,2,2,0,0,0,0,1,16,0,0,1,4,0,0,1,4,0,0,7,5,1,1,0,10,0,0,0,19,0,0,0,41,2,2,1
2318,2015-12-29,FALSE,168,84.00%,100,3,3,3,0,10,0,0,0,0,1,1,1,9,7,7,1,0,0,1,1,4,0,0,1,2,4,4,0,6,4,4,0,17,2,2,0,38,5,5,1
2354,2015-12-29,FALSE,179,89.50%,100,5,1,1,0,8,2,2,0,0,1,1,1,14,2,2,3,4,0,0,1,4,0,0,1,6,0,0,0,7,3,3,0,15,4,4,0,42,1,1,1
2363,2015-12-29,TRUE,172,86.00%,100,5,1,1,0,7,3,3,0,0,3,3,1,15,1,1,1,4,0,0,1,4,0,0,1,6,0,0,0,6,4,4,0,15,4,4,0,36,7,7,1
2364,2015-12-29,FALSE,150,75.00%,100,4,2,2,0,9,1,1,0,0,2,2,1,16,0,0,1,4,0,0,5,3,1,0,1,3,3,3,0,10,0,0,0,17,2,2,0,40,3,3,28
2366,2015-12-29,FALSE,185,92.50%,100,6,0,0,0,9,1,1,0,0,1,1,1,15,1,1,2,4,0,0,0,4,0,0,2,4,2,2,0,8,2,2,0,19,0,0,0,41,2,2,1
